Flag Tsunami,Year,Month,Day,Coordinates,Latitude,Longitude,EQ Primary,Country,State,Location name,Earthquake : Deaths,Earthquake : Deaths Description,Earthquake : Missing,Earthquake : Missing Description,Earthquake : Injuries,Earthquake : Injuries Description,Earthquake : Damage (in M$),Earthquake : Damage Description,Earthquakes : Houses destroyed,Earthquakes : Houses destroyed Description,Earthquakes : Houses damaged,Earthquakes : Houses damaged Description,Total Effects : Deaths,Total Effects : Deaths Description,Total Effects : Missing,Total Effects : Missing Description,Total Effects : Injuries,Total Effects : Injuries Description,Total Effects : Damages in million Dollars,Total Effects : Damage Description,Total Effects : Houses Destroyed,Total Effects : Houses Destroyed Description,Total Effects : Houses Damaged,Total Effects : Houses Damaged Description,Coordinates
Tsunami,1953,11,25,"34.0, 141.7",34,141.7,7.4,JAPAN,,JAPAN:  KASHIMA,1,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,1,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"34.0, 141.7"
,1953,12,07,"-22.1, -68.7",-22.1,-68.7,7.4,CHILE,,CHILE:  NORTHERN,3,Few (~1 to 50 deaths),,,,,7.31,SEVERE (~>$5 to $24 million),,,,,,,,,,,,,,,,,"-22.1, -68.7"
Tsunami,1953,12,12,"-3.4, -80.6",-3.4,-80.6,7.4,PERU,,PERU-ECUADOR,6,Few (~1 to 50 deaths),,,20,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),200,Many (~101 to 1000 houses),,,6,Few (~1 to 50 deaths),,,20,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),200,Many (~101 to 1000 houses),,,"-3.4, -80.6"
Tsunami,1954,02,11,"39.0, 101.3",39,101.3,7.3,CHINA,,CHINA:  GANSU PROVINCE,,,,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,,,,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,"39.0, 101.3"
,1954,03,21,"24.5, 95.3",24.5,95.3,7.4,MYANMAR (BURMA),,"MYANMAR; INDIA:  CALCUTTA, CUTTACK, BHAGALPUR",,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,MODERATE (~$1 to $5 million),,,,,"24.5, 95.3"
,1954,03,29,"37.0, -3.5",37,-3.5,7,SPAIN,,SPAIN,,,,,,,,SEVERE (~>$5 to $24 million),,,,,,,,,,,,,,,,,"37.0, -3.5"
,1954,04,20,"39.8, 22.1",39.8,22.1,7,GREECE,,GREECE,25,Few (~1 to 50 deaths),,,,,,,,,,,,,,,,,,,,,,,"39.8, 22.1"
,1954,04,29,"29.5, -29.5",29.5,-29.5,7.5,ATLANTIC OCEAN,,ATLANTIC OCEAN:  NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,"29.5, -29.5"
,1954,04,30,"39.3, 22.2",39.3,22.2,7,GREECE,,GREECE:  SOPHADES (KARDITSA),31,Few (~1 to 50 deaths),,,,,3.15,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,"39.3, 22.2"
,1954,07,31,"38.8, 104.2",38.8,104.2,7,CHINA,,CHINA: NEI MONGOL,,,,,,,,MODERATE (~$1 to $5 million),542,Many (~101 to 1000 houses),,,,,,,,,,MODERATE (~$1 to $5 million),542,Many (~101 to 1000 houses),,,"38.8, 104.2"
,1954,12,16,"39.3, -118.2",39.3,-118.2,7,USA,NV,NEVADA:  DIXIE VALLEY,,,,,,,,,,,,,,,,,,,,,,,,,"39.3, -118.2"
,1955,02,27,"-28.0, -175.5",-28,-175.5,7.8,KERMADEC ISLANDS (NEW ZEALAND),,KERMADEC ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-28.0, -175.5"
,1955,03,31,"8.1, 123.2",8.1,123.2,7.6,PHILIPPINES,,"PHILIPPINES:  MINDANAO:  LANAO,OZAMIZ,COTABATO",400,Many (~101 to 1000 deaths),,,,,5,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,"8.1, 123.2"
,1955,04,14,"30.0, 101.8",30,101.8,7.5,CHINA,,CHINA:  SICHUAN PROVINCE,39,Few (~1 to 50 deaths),,,113,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),500,Many (~101 to 1000 houses),,,39,Few (~1 to 50 deaths),,,113,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),500,Many (~101 to 1000 houses),,,"30.0, 101.8"
,1955,04,15,"39.9, 74.6",39.9,74.6,7,CHINA,,CHINA:  XINJIANG PROVINCE,,,,,,,,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,,,,,,,,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,"39.9, 74.6"
Tsunami,1955,04,19,"-30.0, -72.0",-30,-72,7.1,CHILE,,CHILE,,,,,,,,,,,,,1,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),,,"-30.0, -72.0"
Tsunami,1955,05,17,"6.5, 94.0",6.5,94,7.3,INDIA,,INDIA:  LITTLE NICOBAR ISLAND,,,,,,,,,,,,,,,,,,,,,,,,,"6.5, 94.0"
Tsunami,1955,10,10,"-5.1, 152.924",-5.1,152.924,7.3,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  BISMARCK SEA,,,,,,,,,,,,,,,,,,,,,,,,,"-5.1, 152.924"
Tsunami,1956,01,08,"-19.0, -70.0",-19,-70,7.1,CHILE,,CHILE,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"-19.0, -70.0"
,1956,01,10,"-20.0, -175.0",-20,-175,7.7,TONGA,,TONGA ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-20.0, -175.0"
,1956,01,16,"-0.5, -80.5",-0.5,-80.5,7.3,ECUADOR,,ECUADOR,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,"-0.5, -80.5"
,1956,01,24,"12.2, -86.7",12.2,-86.7,7.3,NICARAGUA,,NICARAGUA:  PUERTO SAMOZA,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,"12.2, -86.7"
,1956,05,23,"-15.0, -179.0",-15,-179,7.5,FIJI,,FIJI ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-15.0, -179.0"
,1956,06,09,"35.1, 67.5",35.1,67.5,7.6,AFGHANISTAN,,AFGHANISTAN:  KABUL,100,Some (~51 to 100 deaths),,,,,,,,,,,,,,,,,,,,,,,"35.1, 67.5"
Tsunami,1956,07,09,"36.9, 26.0",36.9,26,7.8,GREECE,,GREECE:  DODECANESE,53,Some (~51 to 100 deaths),,,,,,SEVERE (~>$5 to $24 million),,,,,56,Some (~51 to 100 deaths),,,,,,SEVERE (~>$5 to $24 million),,,,,"36.9, 26.0"
,1956,07,16,"22.2, 95.7",22.2,95.7,7,MYANMAR (BURMA),,MYANMAR (BURMA),38,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,"22.2, 95.7"
,1956,07,18,"-5.5, 130.0",-5.5,130,7.5,INDONESIA,,INDONESIA:  BANDA SEA,,,,,,,,,,,,,,,,,,,,,,,,,"-5.5, 130.0"
,1956,10,11,"46.0, 150.5",46,150.5,7.6,RUSSIA,,RUSSIA:  KURIL ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"46.0, 150.5"
,1957,02,23,"23.9, 121.6",23.9,121.6,7.2,TAIWAN,,"TAIWAN:  HUALIEN, TAIPEI",11,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),,,,,11,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),,,,,"23.9, 121.6"
,1957,03,08,"39.4, 22.8",39.4,22.8,7,GREECE,,GREECE:  STEPHANOVIKION-VELESTNON (MAGNESIA),2,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),,,,,2,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),,,,,"39.4, 22.8"
Tsunami,1957,03,09,"51.292, -175.629",51.292,-175.629,8.6,USA,AK,ALASKA,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,2,Few (~1 to 50 deaths),,,1,Few (~1 to 50 deaths),,SEVERE (~>$5 to $24 million),,,,,"51.292, -175.629"
,1957,03,22,"55.0, -165.2",55,-165.2,7.5,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"55.0, -165.2"
,1957,04,14,"-15.5, -173.0",-15.5,-173,7.5,SAMOA,,SAMOA ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-15.5, -173.0"
