Flag Tsunami,Year,Month,Day,Coordinates,Latitude,Longitude,EQ Primary,Country,State,Location name,Earthquake : Deaths,Earthquake : Deaths Description,Earthquake : Missing,Earthquake : Missing Description,Earthquake : Injuries,Earthquake : Injuries Description,Earthquake : Damage (in M$),Earthquake : Damage Description,Earthquakes : Houses destroyed,Earthquakes : Houses destroyed Description,Earthquakes : Houses damaged,Earthquakes : Houses damaged Description,Total Effects : Deaths,Total Effects : Deaths Description,Total Effects : Missing,Total Effects : Missing Description,Total Effects : Injuries,Total Effects : Injuries Description,Total Effects : Damages in million Dollars,Total Effects : Damage Description,Total Effects : Houses Destroyed,Total Effects : Houses Destroyed Description,Total Effects : Houses Damaged,Total Effects : Houses Damaged Description,Coordinates
,1968,10,07,"26.3, 140.6",26.3,140.6,7.5,JAPAN,,JAPAN:  BONIN ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"26.3, 140.6"
,1968,10,23,"-3.4, 143.3",-3.4,143.3,7.5,PAPUA NEW GUINEA,,"PAPUA NEW GUINEA:  N COAST, WEWAK, DAGUA",,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,"-3.4, 143.3"
,1969,01,05,"-7.9, 158.9",-7.9,158.9,7.5,SOLOMON ISLANDS,,SOLOMON ISLANDS:  SANTA ISABEL ISLAND,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,,,,,,"-7.9, 158.9"
,1969,01,19,"45.0, 143.2",45,143.2,7.6,JAPAN,,JAPAN:  HOKKAIDO,,,,,,,,,,,,,,,,,,,,,,,,,"45.0, 143.2"
,1969,01,30,"4.8, 127.4",4.8,127.4,7.5,INDONESIA,,"INDONESIA:  TALAUD ISLANDS, MINDANAO, VISAYAN",,,,,,,,,,,,,,,,,,,,,,,,,"4.8, 127.4"
Tsunami,1969,02,23,"-3.1, 118.9",-3.1,118.9,7.4,INDONESIA,,"INDONESIA:  SULAWESI:  PARASANGA, PALETOANG",64,Some (~51 to 100 deaths),,,97,Some (~51 to 100 deaths),,SEVERE (~>$5 to $24 million),1287,Very Many (~1001 or more houses),,,664,Many (~101 to 1000 deaths),,,97,Some (~51 to 100 deaths),,SEVERE (~>$5 to $24 million),1287,Very Many (~1001 or more houses),,,"-3.1, 118.9"
Tsunami,1969,02,28,"36.017, -10.95",36.017,-10.95,7.8,PORTUGAL,,"PORTUGAL; MOROCCO:  RABAT, SALE; SPAIN:  CANARY IS",25,Few (~1 to 50 deaths),,,80,Some (~51 to 100 deaths),,MODERATE (~$1 to $5 million),,Many (~101 to 1000 houses),,Very Many (~1001 or more houses),25,Few (~1 to 50 deaths),,,80,Some (~51 to 100 deaths),,MODERATE (~$1 to $5 million),,Many (~101 to 1000 houses),,Very Many (~1001 or more houses),"36.017, -10.95"
Tsunami,1969,03,31,"27.7, 34.0",27.7,34,7,EGYPT,,"EGYPT:  BENI-SOUEF, AL-QAHIRAH (CAIRO)",2,Few (~1 to 50 deaths),,,16,Few (~1 to 50 deaths),,SEVERE (~>$5 to $24 million),107,Many (~101 to 1000 houses),,,2,Few (~1 to 50 deaths),,,16,Few (~1 to 50 deaths),,SEVERE (~>$5 to $24 million),107,Many (~101 to 1000 houses),,,"27.7, 34.0"
,1969,07,18,"38.2, 119.4",38.2,119.4,7.4,CHINA,,CHINA:  BOHAI SEA,,,,,,,,EXTREME (~$25 million or more),,Very Many (~1001 or more houses),,,,,,,,,,EXTREME (~$25 million or more),,Very Many (~1001 or more houses),,,"38.2, 119.4"
Tsunami,1969,08,11,"43.6, 147.9",43.6,147.9,8.2,RUSSIA,,"RUSSIA:  SHIKOTAN ISLAND, KURILSKIYE",,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,MODERATE (~$1 to $5 million),,,,,"43.6, 147.9"
,1969,11,21,"2.1, 94.6",2.1,94.6,7.7,INDONESIA,,INDONESIA:  OFF NW COAST SUMATERA,,,,,,,,,,,,,,,,,,,,,,,,,"2.1, 94.6"
Tsunami,1969,11,22,"57.7, 163.6",57.7,163.6,7.3,RUSSIA,,RUSSIA:  OFF KAMCHATKA,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"57.7, 163.6"
Tsunami,1969,12,25,"15.8, -59.7",15.8,-59.7,7.2,GUADELOUPE,,GUADELOUPE: GRAND BOURG,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,,,,,,"15.8, -59.7"
,1970,01,04,"24.1, 102.5",24.1,102.5,7.8,CHINA,,CHINA:  YUNNAN PROVINCE; VIETNAM:  HANOI,10000,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,Many (~101 to 1000 houses),10000,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,"24.1, 102.5"
Tsunami,1970,01,10,"6.8, 126.7",6.8,126.7,7.6,PHILIPPINES,,PHILIPPINES:  MINDANAO,,,,,,,,,,,,,,,,,,,,,,,,,"6.8, 126.7"
,1970,02,05,"12.6, 122.1",12.6,122.1,7.1,PHILIPPINES,,"PHILIPPINES:  LUZON, ROMBLON I; TABLAS I:  ODIONGAN",3,Few (~1 to 50 deaths),,,,Some (~51 to 100 deaths),,MODERATE (~$1 to $5 million),,,,,3,Few (~1 to 50 deaths),,,,Some (~51 to 100 deaths),,MODERATE (~$1 to $5 million),,,,,"12.6, 122.1"
,1970,03,28,"39.2, 29.5",39.2,29.5,7.4,TURKEY,,TURKEY:  GEDIZ,1086,Very Many (~1001 or more deaths),,,1174,Very Many (~1001 or more deaths),55.6,EXTREME (~$25 million or more),8229,Very Many (~1001 or more houses),8229,Very Many (~1001 or more houses),1086,Very Many (~1001 or more deaths),,,1174,Very Many (~1001 or more deaths),55.600,EXTREME (~$25 million or more),8229,Very Many (~1001 or more houses),5586,Very Many (~1001 or more houses),"39.2, 29.5"
Tsunami,1970,04,07,"15.78, 121.71",15.78,121.71,7.3,PHILIPPINES,,PHILIPPINES:  LUZON,15,Few (~1 to 50 deaths),,,200,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),,,,,15,Few (~1 to 50 deaths),,,200,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),,,,,"15.78, 121.71"
Tsunami,1970,05,31,"-9.2, -78.8",-9.2,-78.8,7.9,PERU,,"PERU: NORTHERN, PISCO, CHICLAYO",66794,Very Many (~1001 or more deaths),,,50000,Very Many (~1001 or more deaths),530,EXTREME (~$25 million or more),,Many (~101 to 1000 houses),,Many (~101 to 1000 houses),66794,Very Many (~1001 or more deaths),,,50000,Very Many (~1001 or more deaths),530.000,EXTREME (~$25 million or more),,Many (~101 to 1000 houses),,,"-9.2, -78.8"
,1970,06,11,"-59.1, 157.8",-59.1,157.8,7.6,AUSTRALIA,TAS,AUSTRALIA:  MACQUARIE ISLAND,,,,,,,,,,,,,,,,,,,,,,,,,"-59.1, 157.8"
,1970,06,24,"51.8, -131.0",51.8,-131,7.5,CANADA,,"CANADA:  QUEEN CHARLOTTE ISLANDS, BRITISH COLOMBIA",,,,,,,,,,,,,,,,,,,,,,,,,"51.8, -131.0"
Tsunami,1970,07,25,"32.2, 131.7",32.2,131.7,7,JAPAN,,"SEIKAIDO, JAPAN",,,,,13,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,13,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,,,,"32.2, 131.7"
,1970,07,31,"-1.5, -72.6",-1.5,-72.6,7.1,PERU,,PERU:  JUIN  PROVINCE FELT ARGENTINA TO MEXICO CITY,1,Few (~1 to 50 deaths),,,,Some (~51 to 100 deaths),,MODERATE (~$1 to $5 million),,,,,1,Few (~1 to 50 deaths),,,,Some (~51 to 100 deaths),,MODERATE (~$1 to $5 million),,,,,"-1.5, -72.6"
,1970,08,11,"-14.095, 166.57",-14.095,166.57,7.5,SOLOMON ISLANDS,,SOLOMON ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-14.095, 166.57"
Tsunami,1970,10,31,"-4.907, 145.471",-4.907,145.471,7.3,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  MADANG,15,Few (~1 to 50 deaths),,,20,Few (~1 to 50 deaths),1.75,MODERATE (~$1 to $5 million),800,Many (~101 to 1000 houses),800,Many (~101 to 1000 houses),18,Few (~1 to 50 deaths),,,20,Few (~1 to 50 deaths),1.750,MODERATE (~$1 to $5 million),800,Many (~101 to 1000 houses),,,"-4.907, 145.471"
,1970,12,10,"-4.0, -80.7",-4,-80.7,7.6,PERU,,PERU:  N;  ECUADOR:  S,82,Some (~51 to 100 deaths),,,350,Many (~101 to 1000 deaths),6,SEVERE (~>$5 to $24 million),,,,,82,Some (~51 to 100 deaths),,,350,Many (~101 to 1000 deaths),6.000,SEVERE (~>$5 to $24 million),,,,,"-4.0, -80.7"
,1971,01,10,"-3.1, 139.7",-3.1,139.7,8.1,INDONESIA,,"INDONESIA:  NEW GUINEA: IRIAN JAYA:DJAJAPURA,SENTANI",,,,,,,,MODERATE (~$1 to $5 million),,Few (~1 to 50 houses),,Some (~51 to 100 houses),,,,,,,,MODERATE (~$1 to $5 million),,Few (~1 to 50 houses),,Some (~51 to 100 houses),"-3.1, 139.7"
,1971,02,04,"0.6, 98.8",0.6,98.8,7.1,INDONESIA,,"INDONESIA:  NATAL, SIBOLGA, TARUTUNG, PASAMAN",,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,MODERATE (~$1 to $5 million),,,,,"0.6, 98.8"
Tsunami,1971,05,02,"51.4, -177.2",51.4,-177.2,7.1,USA,AK,ALASKA:  ANDREANOF ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"51.4, -177.2"
Tsunami,1971,07,09,"-32.5, -71.2",-32.5,-71.2,7.8,CHILE,,CHILE:  CENTRAL,83,Some (~51 to 100 deaths),,,447,Many (~101 to 1000 deaths),236.4,EXTREME (~$25 million or more),,Many (~101 to 1000 houses),,,83,Some (~51 to 100 deaths),,,447,Many (~101 to 1000 deaths),236.400,EXTREME (~$25 million or more),,Many (~101 to 1000 houses),,,"-32.5, -71.2"
Tsunami,1971,07,14,"-5.5, 153.9",-5.5,153.9,7.9,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  NEW IRELAND: BOUGAINVILLE,2,Few (~1 to 50 deaths),,,5,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,,,,3,Few (~1 to 50 deaths),,,5,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,,,,"-5.5, 153.9"
Tsunami,1971,07,26,"-4.9, 153.2",-4.9,153.2,7.9,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  BISMARCK SEA  RABAUL,,,,,,,,,,,,,,,,,,,,MODERATE (~$1 to $5 million),,,,,"-4.9, 153.2"
Tsunami,1971,08,02,"41.4, 143.5",41.4,143.5,7.3,JAPAN,,JAPAN TRENCH,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"41.4, 143.5"
Tsunami,1971,09,05,"46.5, 141.2",46.5,141.2,7.1,RUSSIA,,"RUSSIA:  SAKHALIN, MONERON ISLAND",,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,Few (~1 to 50 houses),"46.5, 141.2"
Tsunami,1971,09,25,"-6.5, 146.6",-6.5,146.6,7,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  BISMARCK SEA,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"-6.5, 146.6"
,1971,10,27,"-15.5, 167.2",-15.5,167.2,7.1,VANUATU,,"VANUATU ISLANDS:  ESPIRITU SANTO, PORT VILA",1,Few (~1 to 50 deaths),,,,Some (~51 to 100 deaths),,SEVERE (~>$5 to $24 million),,,,,,,,,,,,,,,,,"-15.5, 167.2"
Tsunami,1971,12,15,"56.0, 163.3",56,163.3,7.8,RUSSIA,,"RUSSIA:  OFF KAMCHATKA, SHEMYA, ATTU",,,,,,,,,,,,,,,,,,,,,,,,,"56.0, 163.3"
,1972,01,04,"22.6, 122.1",22.6,122.1,7.6,TAIWAN,,TAIWAN,,,,,,,,,,,,,,,,,,,,,,,,,"22.6, 122.1"
Tsunami,1972,01,25,"22.5, 122.3",22.5,122.3,7.5,TAIWAN,,TAIWAN,1,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),5,Few (~1 to 50 houses),,,1,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),5,Few (~1 to 50 houses),,,"22.5, 122.3"
,1972,01,25,"23.0, 122.2",23,122.2,7.7,TAIWAN,,TAIWAN,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"23.0, 122.2"
Tsunami,1972,02,29,"33.3, 140.8",33.3,140.8,7.2,JAPAN,,"JAPAN:  S OF HONSHU:  HACHIJOJIMA, TOKYO",,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,"33.3, 140.8"
,1972,04,25,"13.4, 120.3",13.4,120.3,7.2,PHILIPPINES,,"PHILIPPINES:  MINDORO, LUZON, MANILA",,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,MODERATE (~$1 to $5 million),,,,,"13.4, 120.3"
,1972,06,11,"3.9, 124.3",3.9,124.3,7.8,INDONESIA,,INDONESIA:  CELEBES SEA,,,,,,,,,,,,,,,,,,,,,,,,,"3.9, 124.3"
Tsunami,1972,07,30,"56.82, -135.68",56.82,-135.68,7.6,USA,AK,"ALASKA:  SITKA, JUNEAU",,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"56.82, -135.68"
Tsunami,1972,08,17,"-6.0, 152.9",-6,152.9,7.1,SOLOMON SEA,,W. SOLOMON SEA,,,,,,,,,,,,,,,,,,,,,,,,,"-6.0, 152.9"
,1972,11,02,"-20.0, 168.8",-20,168.8,7,NEW CALEDONIA,,"NEW CALEDONIA:  LOYALTY ISLANDS:  TANNA, ANATOM",,,,,,,,,,,,,,,,,,,,,,,,,"-20.0, 168.8"
Tsunami,1972,12,02,"6.5, 126.6",6.5,126.6,7.4,PHILIPPINES,,"PHILIPPINES:  MINDANAO, DAVAO",,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"6.5, 126.6"
Tsunami,1972,12,04,"33.3, 140.7",33.3,140.7,7.4,JAPAN,,"JAPAN:  S OF HONSHU, HACHIJOJIMA",,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,MODERATE (~$1 to $5 million),,,,,"33.3, 140.7"
Tsunami,1973,01,30,"18.48, -103.0",18.48,-103,7.5,MEXICO,,"MEXICO:  S, FARIAS, TECOMAN",56,Some (~51 to 100 deaths),,,390,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,56,Some (~51 to 100 deaths),,,390,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,"18.48, -103.0"
,1973,02,06,"31.4, 100.58",31.4,100.58,7.6,CHINA,,CHINA:  SICHUAN PROVINCE,,,,,,,,MODERATE (~$1 to $5 million),168,Many (~101 to 1000 houses),,,,,,,,,,MODERATE (~$1 to $5 million),168,Many (~101 to 1000 houses),,,"31.4, 100.58"
Tsunami,1973,02,28,"50.5, 156.6",50.5,156.6,7.2,RUSSIA,,"RUSSIA:  KURIL ISLANDS, HIROO, URAKAWA",,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,MODERATE (~$1 to $5 million),,,,,"50.5, 156.6"
Tsunami,1973,03,17,"13.4, 122.8",13.4,122.8,7.5,PHILIPPINES,,"PHILIPPINES:  QUEZON CITY:  CALAUG,LOPEZ,GUIAYANGAN",15,Few (~1 to 50 deaths),,,64,Some (~51 to 100 deaths),0.45,LIMITED (roughly corresponding to less than $1 million),,,,,15,Few (~1 to 50 deaths),,,64,Some (~51 to 100 deaths),.450,LIMITED (roughly corresponding to less than $1 million),,,,,"13.4, 122.8"
Tsunami,1973,06,17,"43.2, 145.8",43.2,145.8,7.7,JAPAN,,JAPAN:  HOKKAIDO ISLAND,,,,,27,Few (~1 to 50 deaths),5,MODERATE (~$1 to $5 million),2,Few (~1 to 50 houses),,,27,Few (~1 to 50 deaths),,,,,5.000,MODERATE (~$1 to $5 million),2,Few (~1 to 50 houses),,,"43.2, 145.8"
Tsunami,1973,06,24,"43.3, 146.4",43.3,146.4,7.1,RUSSIA,,RUSSIA:  KURIL ISLANDS,,,,,1,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,1,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,,,,"43.3, 146.4"
,1973,07,14,"35.18, 86.48",35.18,86.48,7.5,CHINA,,CHINA:  TIBET (XIZANG PROVINCE),,,,,,,,,,,,,,,,,,,,,,,,,"35.18, 86.48"
,1973,10,06,"-60.82, -21.55",-60.82,-21.55,7.5,ANTARCTICA,,ANTARCTICA,,,,,,,,,,,,,,,,,,,,,,,,,"-60.82, -21.55"
,1973,12,28,"-14.46, 166.6",-14.46,166.6,7.5,VANUATU,,"VANUATU ISLANDS:  ESPIRITU SANTO, LUGANILLE",,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,"-14.46, 166.6"
,1973,12,29,"-15.12, 166.9",-15.12,166.9,7.2,VANUATU,,"VANUATU ISLANDS:  LUGANVILLE, LAMAP",,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,"-15.12, 166.9"
Tsunami,1974,01,31,"-7.5, 155.9",-7.5,155.9,7,SOLOMON ISLANDS,,SOLOMON ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-7.5, 155.9"
Tsunami,1974,02,01,"-7.4, 155.6",-7.4,155.6,7.1,SOLOMON ISLANDS,,SOLOMON ISLANDS,,,,,,,,,,,,,,,,,,,,MODERATE (~$1 to $5 million),,,,,"-7.4, 155.6"
,1974,05,10,"28.24, 104.01",28.24,104.01,7.1,CHINA,,"CHINA:  YUNNAN AND SICHUAN PROVINCES, CHAO-T'UNG",20000,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,20000,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,"28.24, 104.01"
,1974,07,13,"7.75, -77.69",7.75,-77.69,7.3,COLOMBIA,,"COLOMBIA: BOGOTA, CALI, PEREIRA",11,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,,,,,,"7.75, -77.69"
Tsunami,1974,08,18,"-38.5, -73.4",-38.5,-73.4,7.1,CHILE,,"CHILE:  LA UNION, VALDIVIA",,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"-38.5, -73.4"
Tsunami,1974,10,03,"-12.27, -77.79",-12.27,-77.79,8.1,PERU,,"PERU:  LIMA, CALLAO",78,Some (~51 to 100 deaths),,,2414,Very Many (~1001 or more deaths),10,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,78,Some (~51 to 100 deaths),,,2414,Very Many (~1001 or more deaths),10.000,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,"-12.27, -77.79"
,1974,10,08,"17.3, -62.0",17.3,-62,7.5,ANTIGUA AND BARBUDA,,ANTIGUA AND BARBUDA; ST KITTS,,,,,4,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,,,,,,,,4,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,,,,"17.3, -62.0"
,1975,02,02,"53.11, 173.5",53.11,173.5,7.6,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  NEAR ISLANDS,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,"53.11, 173.5"
,1975,02,04,"40.64, 122.58",40.64,122.58,7.4,CHINA,,"CHINA:  LIAONING PROVINCE:  YINGTAO, ANSHAN",300,Many (~101 to 1000 deaths),,,,,,EXTREME (~$25 million or more),,Very Many (~1001 or more houses),,,300,Many (~101 to 1000 deaths),,,,,,EXTREME (~$25 million or more),,Very Many (~1001 or more houses),,,"40.64, 122.58"
,1975,05,10,"-38.18, -73.23",-38.18,-73.23,7.7,CHILE,,CHILE:  CENTRAL,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,"-38.18, -73.23"
Tsunami,1975,05,26,"35.997, -17.649",35.997,-17.649,7.7,ATLANTIC OCEAN,,ATLANTIC OCEAN:  MADERIA ISLANDS,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"35.997, -17.649"
Tsunami,1975,06,10,"43.024, 147.734",43.024,147.734,7,RUSSIA,,RUSSIA:  KURIL-JAPAN:  HOKKAIDO,,,,,,,,,,,,,,,,,,,,,,,,,"43.024, 147.734"
,1975,07,20,"-7.104, 155.152",-7.104,155.152,7.7,PAPUA NEW GUINEA,,"PAPUA NEW GUINEA:  SOLOMON ISLANDS: BUIN, BOKU",,,,,,,,,,,,,,,,,,,,,,,,,"-7.104, 155.152"
Tsunami,1975,07,20,"-6.59, 155.054",-6.59,155.054,7.9,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  BISMARCK SEA: BOUGAINVILLE,,,,,,,,SEVERE (~>$5 to $24 million),,Some (~51 to 100 houses),,,,,,,,,,SEVERE (~>$5 to $24 million),,Some (~51 to 100 houses),,,"-6.59, 155.054"
,1975,10,11,"-24.894, -175.119",-24.894,-175.119,7.8,TONGA,,TONGA ISLANDS:  S OF TONGA,,,,,,,,,,,,,,,,,,,,,,,,,"-24.894, -175.119"
Tsunami,1975,10,31,"12.54, 125.993",12.54,125.993,7.6,PHILIPPINES,,PHILIPPINES,1,Few (~1 to 50 deaths),,,,,,,,,,,1,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),30,Few (~1 to 50 houses),,,"12.54, 125.993"
Tsunami,1975,11,29,"19.451, -155.033",19.451,-155.033,7.7,USA,HI,HAWAII,,,,,,,4,MODERATE (~$1 to $5 million),,,,,2,Few (~1 to 50 deaths),,,,,4.000,MODERATE (~$1 to $5 million),,Many (~101 to 1000 houses),,,"19.451, -155.033"
Tsunami,1975,12,26,"-16.265, -172.467",-16.265,-172.467,7.8,SAMOA,,SAMOA ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-16.265, -172.467"
,1976,01,14,"-29.208, -177.886",-29.208,-177.886,7.8,KERMADEC ISLANDS (NEW ZEALAND),,KERMADEC ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-29.208, -177.886"
Tsunami,1976,01,14,"-28.427, -177.657",-28.427,-177.657,8,KERMADEC ISLANDS (NEW ZEALAND),,KERMADEC ISLANDS,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,,,,,,"-28.427, -177.657"
Tsunami,1976,01,21,"44.915, 149.123",44.915,149.123,7,RUSSIA,,RUSSIA:  KURIL ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"44.915, 149.123"
Tsunami,1976,02,04,"15.324, -89.101",15.324,-89.101,7.5,GUATEMALA,,"GUATEMALA:  CHIMALTENANGO, GUATEMALA CITY",23000,Very Many (~1001 or more deaths),,,76000,Very Many (~1001 or more deaths),2147,EXTREME (~$25 million or more),,,,,23000,Very Many (~1001 or more deaths),,,76000,Very Many (~1001 or more deaths),2147.000,EXTREME (~$25 million or more),,,,,"15.324, -89.101"
,1976,04,08,"40.31, 63.77",40.31,63.77,7,UZBEKISTAN,,UZBEKISTAN:  GAZLI,,,,,,,,SEVERE (~>$5 to $24 million),,,,,,,,,,,,,,,,,"40.31, 63.77"
,1976,05,17,"40.38, 63.47",40.38,63.47,7,UZBEKISTAN,,"UZBEKISTAN:  GAZLI, BUKHARA",,,,,,,85,EXTREME (~$25 million or more),,,,,,,,,,,,,,,,,"40.38, 63.47"
,1976,05,29,"24.531, 98.71",24.531,98.71,7.4,CHINA,,CHINA:  YUNNAN PROVINCE:  LUNGLING-LUSHI,,Some (~51 to 100 deaths),,,,,,SEVERE (~>$5 to $24 million),,,,,,Some (~51 to 100 deaths),,,,,,SEVERE (~>$5 to $24 million),,,,,"24.531, 98.71"
,1976,05,29,"24.57, 98.953",24.57,98.953,7.3,CHINA,,CHINA:  YUNNAN PROVINCE:  LUNGLING-LUSHI,,Some (~51 to 100 deaths),,,,,,SEVERE (~>$5 to $24 million),,,,,,Some (~51 to 100 deaths),,,,,,SEVERE (~>$5 to $24 million),,,,,"24.57, 98.953"
,1976,06,25,"-4.603, 140.091",-4.603,140.091,7.1,INDONESIA,,INDONESIA:  NEW GUINEA:  IRIAN JAYA,6000,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),,,,,6000,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),,,,,"-4.603, 140.091"
,1976,07,27,"39.57, 117.98",39.57,117.98,7.5,CHINA,,CHINA:  NE:  TANGSHAN,242769,Very Many (~1001 or more deaths),,,799000,Very Many (~1001 or more deaths),5600,EXTREME (~$25 million or more),,,,,242769,Very Many (~1001 or more deaths),,,799000,Very Many (~1001 or more deaths),5600.000,EXTREME (~$25 million or more),,,,,"39.57, 117.98"
,1976,07,28,"39.664, 118.401",39.664,118.401,7.4,CHINA,,CHINA:  NE:  TANGSHAN,,Some (~51 to 100 deaths),,,,,,MODERATE (~$1 to $5 million),,Many (~101 to 1000 houses),,,,Some (~51 to 100 deaths),,,,,,MODERATE (~$1 to $5 million),,Many (~101 to 1000 houses),,,"39.664, 118.401"
Tsunami,1976,08,16,"6.292, 124.09",6.292,124.09,8,PHILIPPINES,,PHILIPPINES:  MINDANAO:  S,1200,Very Many (~1001 or more deaths),,,3500,Very Many (~1001 or more deaths),134,EXTREME (~$25 million or more),,,,,8000,Very Many (~1001 or more deaths),,,10000,Very Many (~1001 or more deaths),134.000,EXTREME (~$25 million or more),,,,,"6.292, 124.09"
,1976,10,29,"-4.517, 139.918",-4.517,139.918,7.1,INDONESIA,,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  JAYAWIJAYA,133,Many (~101 to 1000 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,Few (~1 to 50 houses),133,Many (~101 to 1000 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,Few (~1 to 50 houses),"-4.517, 139.918"
,1976,11,24,"39.12, 44.03",39.12,44.03,7.3,TURKEY,,TURKEY:  MURADIYE,5000,Very Many (~1001 or more deaths),,,,,60,EXTREME (~$25 million or more),,,,,,,,,,,,,,,,,"39.12, 44.03"
,1976,11,30,"-20.52, -68.92",-20.52,-68.92,7.3,CHILE,,"CHILE:  POZO ALMONTE, OFICINA VICTORIA, ARICA",1,Few (~1 to 50 deaths),,,13,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,"-20.52, -68.92"
